cc_alias	cc_id	language	lexeme	lexeme_id	status	comments 1	comments 2	comments 3
bad-R	2192	Icelandic_ST	ILLUR	23529				
bad-R	2192	Icelandic_ST	LELEGUR	8263				
bad-R	2192	Old_Norse	illr	21569				
bad-T	2194	Cornish	bad	19589	LOAN	English		
bad-T	2194	English	bæd	5119				
bad-U	2195	Gothic	ubils	19920				
bad-U	2195	Old_English	yfel	21326				
bad-U	2195	Old_High_German	ubil	27883				
bad-V	2196	Italian	kat'tivo	8851			SS	< captivus diaboli
bad-V	2196	Provencal	caitiu	23520				
bark-B	182	Afrikaans	BOOMSKORS	25068				
bark-B	182	Catalan	əs'kɔrsə	3936				
bark-B	182	Dutch_List	sχɔrs	4921				
bark-B	182	French	ekɔʀs	5714				
bark-B	182	Friulian	scuarce, scusse	26170				
bark-B	182	Italian	kor'tettʃa	26574			SS	< lat. corticea <  cortex
bark-B	182	Italian	'skɔrdza	8852			SS	< lat. scortea <  scortum
bark-B	182	Ladin	SCORZA	9433				
bark-B	182	Latin	cortex	20343				
bark-B	182	Portuguese_ST	ˈkaʃkɐ	26784				
bark-B	182	Portuguese_ST	CORTICA	12757				
bark-B	182	Romansh	scorsa	26377				
bark-B	182	Rumanian_List	scoarță	13355				
bark-B	182	Sardinian_C	KROZU	13945				
bark-B	182	Sardinian_N	ISKORTHA	14344				
bark-B	182	Spanish	koɾ'teθa	15916				
bark-F	971	Breton_ST	rysk	2956				
bark-F	971	Cornish	rusk	19590				
bark-F	971	Old_Irish	rúsc	29471				
bark-F	971	Provencal	RUSCO	23531	LOAN	?		
bark-F	971	Scots_Gaelic	rùsg	23910				
bark-F	971	Welsh_N	RHISGL	18445				
bark-G	1305	Danish	b̥ɑːg̥ʰ	4721				
bark-G	1305	English	bɑ:k	5120	LOAN	Norse		
bark-G	1305	Faroese	ˈbœʃkʊr	5320				
bark-G	1305	German	'bɔrkə	23532				
bark-G	1305	Icelandic_ST	BORKUR	8264				
bark-G	1305	Norwegian	bark	13157				
bark-G	1305	Old_Norse	borkr	21571				
bark-G	1305	Swedish	bark	16116				
bark-H	2465	Afrikaans	BAS	208				
bark-H	2465	Flemish	BAST	5517				
bark-H	2465	Frisian	bɔst, bast	6309				
bark-I	1411	Walloon	PELOTE	17853				
bark-J	1438	German	'rɪndə	6500				
bark-J	1438	Old_English	rinde	21327				
bark-J	1438	Old_High_German	rinta	27884				
bark-J	1438	Schwyzerdutsch	rinde	29012				
bark-M	1685	Irish_B	COIRT	8658				
bark-Z	4017	Friulian	croste	31641				
bark-Z	4017	Romansh	crusta	31591				
because-A	183	Afrikaans	DOORDAT	25208				
because-A	183	Afrikaans	OMDAT	209				
because-A	183	Danish	fʌˈd̥i	4722				
because-A	183	Dutch_List	ɔm'dɑt	4922				
because-A	183	Flemish	OMDAT	25207				
because-A	183	Frisian	OMDET	6310				
because-A	183	Frisian	TROCHDET	25206				
because-A	183	Norwegian	FORDI	13158				
because-A	183	Swedish	DARFOR ATT	25223				
because-Aa	2560	Cornish	rag	19592				
because-Al	4080	Old_Irish	úare	28140				
because-Al	4080	Scots_Gaelic	ˈɔir	24074				
because-Am	4081	Irish_B	mar go	32241				
because-F	1107	Catalan	pər'kɛ	3937				
because-F	1107	French	paʀs(ə) k(ə)	5715				
because-F	1107	Friulian	parcè, parcè che	26171				
because-F	1107	Italian	per'ke	8853			SS	Unterschied zu Eintrag sub because-H? Etc.; ital. Che, laut Treccani < lat. 1. quia, quod …, 2. quid
because-F	1107	Ladin	CAUSA CHA	9434				
because-F	1107	Ladin	PERVI CHA	25212				
because-F	1107	Latin	quod	20344			SS	auch quid, quia etc.?
because-F	1107	Portuguese_ST	ˈpuɾkɨ	12758				
because-F	1107	Provencal	PER-CO-QUE	12958				
because-F	1107	Romansh	perquai che	26378				
because-F	1107	Rumanian_List	FIINDCA	13356				
because-F	1107	Sardinian_N	PROKE	14345				
because-F	1107	Spanish	'poɾke	15917				
because-F	1107	Walloon	PACE QUI	17854				
because-H	1279	Catalan	pər'kɛ	3937				
because-H	1279	Danish	fʌˈd̥i	4722				
because-H	1279	French	paʀs(ə) k(ə)	5715				
because-H	1279	Friulian	parcè, parcè che	26171				
because-H	1279	Italian	per'ke	8853				
because-H	1279	Ladin	PERVI CHA	25212				
because-H	1279	Norwegian	FORDI	13158				
because-H	1279	Old_English	forþȳ þe	21328				
because-H	1279	Portuguese_ST	ˈpuɾkɨ	12758				
because-H	1279	Provencal	PER-CO-QUE	12958				
because-H	1279	Romansh	perquai che	26378				
because-H	1279	Sardinian_N	PROKE	14345				
because-H	1279	Spanish	'poɾke	15917				
because-H	1279	Swedish	DARFOR ATT	25223				
because-H	1279	Walloon	PACE QUI	17854				
because-K	1341	English	bɪkɒz	5121	LOAN	French		
because-K	1341	Ladin	CAUSA CHA	9434				
because-L	1366	Faroese	tʊiː	5321				
because-L	1366	Icelandic_ST	AF THVI AO	8265				
because-M	1439	German	va‿il	6501				
because-M	1439	Luxembourgish	well	24293				
because-M	1439	Schwyzerdutsch	wüu	29013				
because-T	2065	Sardinian_C	POITA	13946				
because-U	2558	Afrikaans	OMDAT	209				
because-U	2558	Dutch_List	ɔm'dɑt	4922				
because-U	2558	Flemish	OMDAT	25207				
because-U	2558	Frisian	OMREDENEN	25209				
because-U	2558	Frisian	OMDET	6310				
because-W	2100	Swedish	e'me:dan	16117				
because-Y	2557	Afrikaans	WANT	25211				
because-Y	2557	Flemish	WANT	5518				
because-Z	2559	Afrikaans	DOORDAT	25208				
because-Z	2559	Afrikaans	OOR	25210				
because-Z	2559	Cornish	drefenn	19591				
because-Z	2559	Frisian	TROCHDET	25206				
belly-B	184	Afrikaans	BUIK	23541				
belly-B	184	Danish	b̥u	4723				
belly-B	184	Dutch_List	bœyk	4923				
belly-B	184	English	bɛlɪ	5122				
belly-B	184	Faroese	BUKUR	5322				
belly-B	184	Flemish	BUIK	5519				
belly-B	184	Frisian	buk	6311				
belly-B	184	German	ba‿ux	6502				
belly-C		Irish_B	BOLG	8659				
belly-B	184	Luxembourgish	Bauch	24163				
belly-B	184	Norwegian	buk	29465				
belly-B	184	Old_High_German	būh	27887				
belly-C		Old_Irish	bolg / bolc / balg	29473				
belly-B	184	Schwyzerdutsch	buuch	29014				
belly-B	184	Swedish	bʉ:k	16118				
belly-C		Welsh_N	BOL, BOLA	18447				
belly-E	854	Catalan	'bentrə	3938				
belly-E	854	French	vɑ̃tʀ	5716				
belly-E	854	Friulian	vintri	31642				
belly-E	854	Gothic	wamba	19924				
belly-E	854	Italian	'vɛntre	8854				
belly-E	854	Ladin	VAINTER	9435				
belly-E	854	Latin	venter	20346				
belly-E	854	Old_English	wamb	21329				
belly-E	854	Old_High_German	wanba	27886				
belly-E	854	Old_Norse	vo̜mb	21575				
belly-E	854	Portuguese_ST	ˈvẽtɾɨ	12759				
belly-E	854	Provencal	VENTRE	12959				
belly-E	854	Romansh	venter	26379				
belly-E	854	Sardinian_C	BRENTI	13947				
belly-E	854	Sardinian_N	ENTRE	14346				
belly-E	854	Spanish	VIENTRE	15918				
belly-E	854	Walloon	VINTE	17855				
belly-F	973	Breton_ST	ko:f	2958				
belly-N	2199	Icelandic_ST	MAGI	8266				
belly-N	2199	Norwegian	MAVE	13159				
belly-N	2199	Old_Norse	magi	21573				
belly-N	2199	Swedish	MAGE	23542				
belly-O	2200	Gothic	qiþus	23545				
belly-O	2200	Old_Norse	kviðr	21574				
belly-U	3167	Catalan	'panʃə, 'pantʃa	26999				
belly-U	3167	Friulian	panze	26172				
belly-U	3167	Provencal	PANSO	26575				
belly-U	3167	Romansh	panza	31593				
belly-U	3167	Rumanian_List	PINTEC(E)	13357				
belly-X	3404	Cornish	torr	19593				
belly-X	3404	Old_Irish	tarr / tair	29472				
big-A	185	Afrikaans	GROOT	211				
big-A	185	Dutch_List	ɣrot	4924				
big-A	185	Flemish	GROOT	5520				
big-A	185	Frisian	GREAT	6312				
big-A	185	German	gro:s	6503				
big-A	185	Luxembourgish	grouss	24103				
big-A	185	Old_High_German	grōz	28993				
big-A	185	Schwyzerdutsch	gross	29015				
big-A	185	Swedish	gru:v	16119				
big-B	360	Faroese	MIKILL	23548				
big-B	360	Gothic	mikils	19925				
big-B	360	Latin	ˈmaŋnus	20347			SS	wie gehört das hierher? D.i. zu mikils etc. Blosse Wurzeletymologie! → macht wenig Sinn ==> «big-?»
big-B	360	Old_English	micel	21330				
big-B	360	Old_High_German	mihhil	27888				
big-B	360	Old_Norse	mikill	21577				
big-B	360	Sardinian_C	MANNU	13948			SS	wie gehört das hierher? D.i. zu mikils etc. Blosse Wurzeletymologie! → macht wenig Sinn ==> «big-?»
big-B	360	Sardinian_N	MANNU	14347			SS	wie gehört das hierher? D.i. zu mikils etc. Blosse Wurzeletymologie! → macht wenig Sinn ==> «big-?»
big-C		Breton_ST	bʁaz	2959				
big-D	855	Catalan	gran	3939				
big-C		Cornish	bro:z	19595				
big-D	855	French	gʀɑ̃	5717				
big-D	855	Friulian	grant	26173				
big-D	855	Italian	'grande	8855				
big-D	855	Ladin	GRAND	9436				
big-D	855	Latin	ˈɡrandis	20348	EXCLUDE			
big-D	855	Portuguese_ST	ˈɡɾɐ̃ðɨ	12760				
big-D	855	Provencal	GROS	12960				
big-D	855	Romansh	grond	26380				
big-D	855	Spanish	'ɡɾande	15919				
big-D	855	Walloon	GRAND	17856				
big-G	1342	English	bɪg	5123	LOAN	Norse		
big-I	1686	Breton_ST	møʁ	26907				
big-I	1686	Irish_B	mˠɔːr	8660				
big-I	1686	Old_Irish	mór	28142				
big-I	1686	Scots_Gaelic	moːɾ	23870				
big-I	1686	Welsh_N	MAWR	18448				
big-N	2041	Rumanian_List	'mare	13358				
big-O	2203	Danish	ˈsd̥ʰoɐ̯	4724				
big-O	2203	Faroese	ˈstɔurʊr	5323				
big-O	2203	Icelandic_ST	stouːr	8267				
big-O	2203	Norwegian	stor	13160				
big-O	2203	Old_Norse	stórr	21576				
bird-B	186	Afrikaans	VOEL	212				
bird-B	186	Danish	ful	4725				
bird-B	186	Dutch_List	'voɣəl	4925				
bird-B	186	Faroese	FUGLUR	5324				
bird-B	186	Flemish	VOGEL	5521				
bird-B	186	Frisian	fu(:)gəl	6313				
bird-B	186	German	'fo:gl̩	6504				
bird-B	186	Gothic	fugls	19926				
bird-B	186	Icelandic_ST	fʏkl	8268				
bird-B	186	Luxembourgish	Vull	24122				
bird-B	186	Norwegian	FUGL	13161				
bird-B	186	Old_English	fugol	21331				
bird-B	186	Old_High_German	fugal	27889				
bird-B	186	Old_Norse	fugl	21578				
bird-B	186	Schwyzerdutsch	fogu	29016				
bird-B	186	Swedish	'fo:gəl	16120				
bird-F	856	Catalan	u'seʎ	3940				
bird-F	856	French	wazo	5718				
bird-F	856	Friulian	uciel	26174				
bird-F	856	Italian	ut'tʃɛllo	8856				
bird-F	856	Ladin	UTSCHE	9437				
bird-F	856	Latin	ˈawis	20349				
bird-F	856	Portuguese_ST	ˈavɨ	12761				
bird-F	856	Provencal	awˈsɛl	12961				
bird-F	856	Romansh	utschals, utschi	26381				
bird-F	856	Spanish	AVE	15920				
bird-F	856	Walloon	OUHE	17857				
bird-G	974	Breton_ST	'ẽwn	2960				
bird-G	974	Cornish	edhen	19596				
bird-G	974	Irish_B	eːnˠ	8661				
bird-G	974	Old_Irish	én	28143				
bird-G	974	Rumanian_List	pasăre	13359				
bird-G	974	Scots_Gaelic	eun	23897				
bird-G	974	Spanish	'paxaɾo	27231				
bird-G	974	Welsh_N	ADERYN, EDN	18449				
bird-H	1109	Sardinian_C	PILLONI	13949				
bird-H	1109	Sardinian_N	PUTHTHONE	14348				
bird-L	2205	Breton_ST	'la:bus	23564				
bite-A	1456	Breton_ST	'dãntã	23574				
bite-A	1456	Cornish	densel	19597				
bite-A	1456	Cornish	deintio	19598				
bite-A	1456	Cornish	danta	19599				
bite-B	187	Afrikaans	BYT	213				
bite-B	187	Danish	ˈb̥iːðə	4726				
bite-B	187	Dutch_List	'bɛitə(n)	4926				
bite-B	187	English	baɪt	5125				
bite-B	187	Faroese	BITA	5325				
bite-B	187	Flemish	BYTEN	5522				
bite-B	187	Frisian	bitət	6314				
bite-B	187	German	'ba‿isn̩	6505				
bite-B	187	Gothic	beitiþ	19927				
bite-B	187	Icelandic_ST	ˈpiːta	8269				
bite-B	187	Luxembourgish	bäissen	24172				
bite-B	187	Norwegian	BITE	13162				
bite-B	187	Old_English	bītt	21332				
bite-B	187	Old_High_German	bīzit	27890				
bite-B	187	Old_Norse	bíta	21579				
bite-B	187	Schwyzerdutsch	biisse	29017				
bite-B	187	Swedish	'bi:ta	16121				
bite-G	857	French	mɔʀdʀ	5719				
bite-G	857	Friulian	muardi	26175				
bite-G	857	Italian	'mɔrdere	8857				
bite-G	857	Ladin	MORDER	9438				
bite-G	857	Latin	mordēre	20350				
bite-G	857	Portuguese_ST	muɾˈdeɾ	12762				
bite-G	857	Provencal	MORDRE	12962				
bite-G	857	Romansh	morder	26382				
bite-G	857	Spanish	moɾ'ðeɾ	15921				
bite-H	975	Breton_ST	'krɛ:gĩn	2961				
bite-J	1220	Cornish	cnoi	19600				
bite-J	1220	Irish_B	COGNAIM	8662				
bite-J	1220	Old_Irish	cnaïd	29474				
bite-K	1257	Catalan	musəˈɣa	3941				
bite-K	1257	Rumanian_List	a muʃˈka	13360				
bite-K	1257	Sardinian_C	MUSSIAI	13950				
bite-K	1257	Sardinian_N	MOSSIKRARE	14349				
black-B	188	Afrikaans	SWART	214				
black-B	188	Danish	sɒ:d̥ʰ	4727				
black-B	188	Dutch_List	zwɑrt	4927				
black-B	188	Faroese	ˈsvaʃtʊr	5326				
black-B	188	Flemish	ZWART	5523				
black-B	188	Frisian	swart	32245				
black-B	188	German	ʃwart͜s	6506				
black-B	188	Gothic	swarts	19928				
black-B	188	Icelandic_ST	ˈsvar̥tʏr	8270				
black-B	188	Luxembourgish	schwaarz	24257				
black-B	188	Norwegian	svart	13163				
black-B	188	Old_English	sweart	21333				
black-B	188	Old_High_German	swarz	27891				
black-B	188	Old_Norse	svartr	21580				
black-B	188	Schwyzerdutsch	schwarz	29018				
black-B	188	Swedish	svart, svaʈ	16122				
black-F	858	Catalan	ˈnɛɣɾə, ˈneɣɾe	3942				
black-F	858	French	nwaʀ	5720				
black-F	858	Friulian	neri	26176				
black-F	858	Italian	'nero	8858				
black-F	858	Ladin	NAIR	9439				
black-F	858	Latin	ˈniɡer	20351				
black-F	858	Portuguese_ST	'neɡɾu	12763				
black-F	858	Provencal	NEGRE, EGRO	12963				
black-F	858	Romansh	ner	26383				
black-F	858	Rumanian_List	ˈneɡru	13361				
black-F	858	Sardinian_C	NIEDDU	13951				
black-F	858	Sardinian_N	NIEDDU	14350				
black-F	858	Spanish	'neɣɾo	15922				
black-F	858	Walloon	NEUR	17859				
black-G	976	Breton_ST	dyː	2962				
black-G	976	Cornish	diw	19601				
black-G	976	Irish_B	d̪ˠʊw	8663				
black-G	976	Old_Irish	dub	28144				
black-G	976	Scots_Gaelic	d̪̊u	24040				
